_S036_EU5_BMS(){
:DTC
001122 [P001122]无定义;
001E00 [P001E00]无定义;
001E01 [P001E01]无定义;
001E02 [P001E02]无定义;
001E03 [P001E03]无定义;
001E04 [P001E04]无定义;
001E05 [P001E05]无定义;
001E06 [P001E06]无定义;
001E07 [P001E07]无定义;
001E08 [P001E08]无定义;
001E09 [P001E09]无定义;
001E0A [P001E0A]无定义;
001E0B [P001E0B]无定义;
001E0C [P001E0C]无定义;
001E0D [P001E0D]无定义;
001E0E [P001E0E]无定义;
001E0F [P001E0F]无定义;
001E10 [P001E10]无定义;
001E11 [P001E11]无定义;
001E12 [P001E12]无定义;
001E13 [P001E13]无定义;
001E14 [P001E14]15号温感异常故障(仅供参考);
0A001C [P0A001C]电机温度检测回路故障;
0A0A94 [P0A0A94]高低压互锁故障;
0A3F00 [P0A3F00]MCU(驱动电机控制单元)位置信号检测回路故障;
0A7E22 [P0A7E22]电池温度过高;
0A7E98 [P0A7E98]电池温度过高(预警);
0A9401 [P0A9401]DCDC过压故障;
0A9409 [P0A9409]DCDC故障;
0A9513 [P0A9513]MSD/主保险断路;
0AA073 [P0AA073]正极继电器粘连;
0AA272 [P0AA272]正极继电器断路;
0AA473 [P0AA473]负极继电器粘连;
0AA572 [P0AA572]负极继电器断路;
0AA61A [P0AA61A]绝缘电阻低;
0AE273 [P0AE273]预充继电器粘连;
0AE372 [P0AE372]预充继电器断路;
101001 [P101001]DCDC温度故障;
101101 [P101101]动力电池包不匹配;
101221 [P101221]SOC太低报警;
101327 [P101327]SOC跳变报警;
103064 [P103064]高压系统电压校验错误;
103364 [P103364]BCU自检超时;
103464 [P103464]MCU高压自检超时;
103804 [P103804]BCU/BMS自检异常(初始化);
103904 [P103904]MCU自检异常(初始化);
103C00 [P103C00]碰撞故障;
104163 [P104163]租赁车机使能超时故障(仅供参考);
11801C [P11801C]MCU(驱动电机控制单元)IGBT温度检测回路故障(U);
118111 [P118111]电池外部短路(过流故障);
118312 [P118312]电池内部短路;
118427 [P118427]电池升温过快;
118501 [P118501]电池单体电压不均衡(预警);
118522 [P118522]电池单体电压不均衡;
118674 [P118674]充电电流异常;
118722 [P118722]温度不均衡;
118822 [P118822]电池单体过压;
118964 [P118964]内部总电压检测故障(V1);
118A64 [P118A64]外部总电压检测故障(V2);
118E21 [P118E21]单体欠压故障(正常放电窗口欠压);
119022 [P119022]总电压过压;
119121 [P119121]电池总电压欠压;
119321 [P119321]单体最低温度报警;
119796 [P119796]加热元件故障;
119844 [P119844]BMS-EEPROM读写故障;
119B94 [P119B94]铜排松动(接触内阻加大)故障;
119C21 [P119C21]单体过放失效故障;
